feature_id:ID(FeatureDefinition),release_id,label,layer,epistemic_class,data_type,unit,operator_scope,domain_scope:string[],description,source_json,:LABEL
semantic.archetypal_role,canonical-profile-registry:0.1.1,Archetypal role,semantic,authored_correspondence,string,,office,all,Canonical role statement for the Governor.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
semantic.element,canonical-profile-registry:0.1.1,Element,semantic,authored_correspondence,string_or_null,,office,all,Declared elemental correspondence where present.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
semantic.zodiacal_systems,canonical-profile-registry:0.1.1,Zodiacal systems,semantic,authored_correspondence,object,,office,all,External/internal system records declared under an office.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
semantic.C_S,canonical-profile-registry:0.1.1,Semantic compression coordinate,semantic,framework_order_plus_registry_coordinate_convention,object,ordered_category_nonmetric,office,all,Ordered position along the declared Sun→Saturn process canon. The optional 0–1 normalization is non-metric and does not assert equal semantic distance.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
domain.landforms,canonical-profile-registry:0.1.1,Landform references,domain,canonical_reference_library,array,,office,landforms,Canonical landform references declared in the Governor reference library.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
domain.architecture,canonical-profile-registry:0.1.1,Architecture references,domain,canonical_reference_library,array,,office,cross_domain,Canonical architecture references declared in the Governor reference library.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
domain.botany,canonical-profile-registry:0.1.1,Botanical references,domain,canonical_reference_library,array,,office,cross_domain,Canonical botanical references declared in the Governor reference library.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
domain.material,canonical-profile-registry:0.1.1,Material references,domain,canonical_reference_library,array,,office,cross_domain,Canonical material references declared in the Governor reference library.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
domain.color_associations,canonical-profile-registry:0.1.1,Color references,domain,canonical_reference_library,array,,office,cross_domain,Canonical color references declared in the Governor reference library.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
domain.symbolic_references,canonical-profile-registry:0.1.1,Symbolic references,domain,canonical_reference_library,array,,office,cross_domain,Canonical symbolic references declared in the Governor reference library.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
generative.required_features,canonical-profile-registry:0.1.1,Required features,generative,compiled_constraint,array,,compiled_profile,all,Required features emitted by the deterministic compiler.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
generative.soft_priors,canonical-profile-registry:0.1.1,Soft priors,generative,compiled_constraint,array,,compiled_profile,all,Soft priors emitted by the deterministic compiler.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
generative.reference_pool,canonical-profile-registry:0.1.1,Reference pool,generative,compiled_constraint,array,,compiled_profile,all,Reference pool emitted by the deterministic compiler.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
generative.promoted_features,canonical-profile-registry:0.1.1,Promoted features,generative,compiled_constraint,array,,compiled_profile,all,Promoted features emitted by the deterministic compiler.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
generative.suppressed_features,canonical-profile-registry:0.1.1,Suppressed features,generative,compiled_constraint,array,,compiled_profile,all,Suppressed features emitted by the deterministic compiler.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
generative.prohibited_features,canonical-profile-registry:0.1.1,Prohibited features,generative,compiled_constraint,array,,compiled_profile,all,Prohibited features emitted by the deterministic compiler.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
generative.unresolved_features,canonical-profile-registry:0.1.1,Unresolved features,generative,compiled_constraint,array,,compiled_profile,all,Unresolved features emitted by the deterministic compiler.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
generative.creative_affordances,canonical-profile-registry:0.1.1,Creative affordances,generative,compiled_constraint,array,,compiled_profile,all,Creative affordances emitted by the deterministic compiler.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
