witness_id,witness_type,source_a_id,source_a_name,source_b_id,source_b_name,path_a,path_b,target_id,target_name,same_source,interpretation,result
diamond:R1:L1:925,same_source_direct_diamond,925,Chromatic Hypodorian,925,Chromatic Hypodorian,R1;L1,L1;R1,925,Chromatic Hypodorian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:941,same_source_direct_diamond,941,Rāga Jhankara Bhramavi,941,Rāga Jhankara Bhramavi,R1;L1,L1;R1,941,Rāga Jhankara Bhramavi,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:949,same_source_direct_diamond,949,Mararanjani,949,Mararanjani,R1;L1,L1;R1,949,Mararanjani,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:953,same_source_direct_diamond,953,Rāga Kalahamsa,953,Rāga Kalahamsa,R1;L1,L1;R1,953,Rāga Kalahamsa,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:973,same_source_direct_diamond,973,7-19 rooted state 973,973,7-19 rooted state 973,R1;L1,L1;R1,973,7-19 rooted state 973,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:981,same_source_direct_diamond,981,Mela Kantamani,981,Mela Kantamani,R1;L1,L1;R1,981,Mela Kantamani,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:985,same_source_direct_diamond,985,Scale 985,985,Scale 985,R1;L1,L1;R1,985,Scale 985,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:997,same_source_direct_diamond,997,Tanarupi IV,997,Tanarupi IV,R1;L1,L1;R1,997,Tanarupi IV,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1001,same_source_direct_diamond,1001,Lydian ♯2♯3♭67,1001,Lydian ♯2♯3♭67,R1;L1,L1;R1,1001,Lydian ♯2♯3♭67,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1009,same_source_direct_diamond,1009,7-3 rooted state 1009,1009,7-3 rooted state 1009,R1;L1,L1;R1,1009,7-3 rooted state 1009,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1149,same_source_direct_diamond,1149,Alt ♮25♭6,1149,Alt ♮25♭6,R1;L1,L1;R1,1149,Alt ♮25♭6,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1213,same_source_direct_diamond,1213,Alt ♮2♭♭5♭6,1213,Alt ♮2♭♭5♭6,R1;L1,L1;R1,1213,Alt ♮2♭♭5♭6,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1245,same_source_direct_diamond,1245,Alt ♮26,1245,Alt ♮26,R1;L1,L1;R1,1245,Alt ♮26,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1261,same_source_direct_diamond,1261,Modified Blues,1261,Modified Blues,R1;L1,L1;R1,1261,Modified Blues,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1269,same_source_direct_diamond,1269,Major Locrian ♭♭6,1269,Major Locrian ♭♭6,R1;L1,L1;R1,1269,Major Locrian ♭♭6,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1273,same_source_direct_diamond,1273,Tanarupi V,1273,Tanarupi V,R1;L1,L1;R1,1273,Tanarupi V,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1341,same_source_direct_diamond,1341,Alt ♮2♭♭5,1341,Alt ♮2♭♭5,R1;L1,L1;R1,1341,Alt ♮2♭♭5,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1373,same_source_direct_diamond,1373,Storian,1373,Storian,R1;L1,L1;R1,1373,Storian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1389,same_source_direct_diamond,1389,Half-Diminished,1389,Half-Diminished,R1;L1,L1;R1,1389,Half-Diminished,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1397,same_source_direct_diamond,1397,Major Locrian,1397,Major Locrian,R1;L1,L1;R1,1397,Major Locrian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1401,same_source_direct_diamond,1401,Major Locrian ♯2,1401,Major Locrian ♯2,R1;L1,L1;R1,1401,Major Locrian ♯2,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1437,same_source_direct_diamond,1437,Sabach,1437,Sabach,R1;L1,L1;R1,1437,Sabach,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1453,same_source_direct_diamond,1453,Aeolian,1453,Aeolian,R1;L1,L1;R1,1453,Aeolian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1461,same_source_direct_diamond,1461,Mixolydian ♭6,1461,Mixolydian ♭6,R1;L1,L1;R1,1461,Mixolydian ♭6,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1465,same_source_direct_diamond,1465,Rāga Cudamani,1465,Rāga Cudamani,R1;L1,L1;R1,1465,Rāga Cudamani,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1485,same_source_direct_diamond,1485,Mela Sanmukhapriya,1485,Mela Sanmukhapriya,R1;L1,L1;R1,1485,Mela Sanmukhapriya,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1493,same_source_direct_diamond,1493,Lydian Minor,1493,Lydian Minor,R1;L1,L1;R1,1493,Lydian Minor,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1497,same_source_direct_diamond,1497,Jyoti Swarupini,1497,Jyoti Swarupini,R1;L1,L1;R1,1497,Jyoti Swarupini,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1509,same_source_direct_diamond,1509,Lydian Minor ♯3,1509,Lydian Minor ♯3,R1;L1,L1;R1,1509,Lydian Minor ♯3,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1513,same_source_direct_diamond,1513,Lydian ♭7♭6♯2♯3,1513,Lydian ♭7♭6♯2♯3,R1;L1,L1;R1,1513,Lydian ♭7♭6♯2♯3,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1521,same_source_direct_diamond,1521,Lydian 7♭6♯32,1521,Lydian 7♭6♯32,R1;L1,L1;R1,1521,Lydian 7♭6♯32,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1597,same_source_direct_diamond,1597,Rāga Ravikosh,1597,Rāga Ravikosh,R1;L1,L1;R1,1597,Rāga Ravikosh,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1629,same_source_direct_diamond,1629,Dorian Blues,1629,Dorian Blues,R1;L1,L1;R1,1629,Dorian Blues,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1645,same_source_direct_diamond,1645,Dorian ♭5,1645,Dorian ♭5,R1;L1,L1;R1,1645,Dorian ♭5,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1653,same_source_direct_diamond,1653,Mixolydian ♭5,1653,Mixolydian ♭5,R1;L1,L1;R1,1653,Mixolydian ♭5,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1657,same_source_direct_diamond,1657,7-19 rooted state 1657,1657,7-19 rooted state 1657,R1;L1,L1;R1,1657,7-19 rooted state 1657,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1693,same_source_direct_diamond,1693,Dorian ♭4,1693,Dorian ♭4,R1;L1,L1;R1,1693,Dorian ♭4,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1709,same_source_direct_diamond,1709,Dorian,1709,Dorian,R1;L1,L1;R1,1709,Dorian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1717,same_source_direct_diamond,1717,Mixolydian,1717,Mixolydian,R1;L1,L1;R1,1717,Mixolydian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1721,same_source_direct_diamond,1721,Rāga Ganavaridhi,1721,Rāga Ganavaridhi,R1;L1,L1;R1,1721,Rāga Ganavaridhi,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1741,same_source_direct_diamond,1741,Dorian ♯4,1741,Dorian ♯4,R1;L1,L1;R1,1741,Dorian ♯4,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1749,same_source_direct_diamond,1749,Acoustic,1749,Acoustic,R1;L1,L1;R1,1749,Acoustic,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1753,same_source_direct_diamond,1753,Hungarian Major,1753,Hungarian Major,R1;L1,L1;R1,1753,Hungarian Major,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1765,same_source_direct_diamond,1765,Lydian ♭7♯3,1765,Lydian ♭7♯3,R1;L1,L1;R1,1765,Lydian ♭7♯3,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1769,same_source_direct_diamond,1769,Lydian ♭7♯2♯3,1769,Lydian ♭7♯2♯3,R1;L1,L1;R1,1769,Lydian ♭7♯2♯3,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1777,same_source_direct_diamond,1777,Lydian ♭7♯3𝄪2,1777,Lydian ♭7♯3𝄪2,R1;L1,L1;R1,1777,Lydian ♭7♯3𝄪2,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1821,same_source_direct_diamond,1821,Dorian +♭4,1821,Dorian +♭4,R1;L1,L1;R1,1821,Dorian +♭4,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1837,same_source_direct_diamond,1837,Dorian Augmented,1837,Dorian Augmented,R1;L1,L1;R1,1837,Dorian Augmented,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1845,same_source_direct_diamond,1845,Mixolydian Augmented,1845,Mixolydian Augmented,R1;L1,L1;R1,1845,Mixolydian Augmented,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1849,same_source_direct_diamond,1849,Rāga Dvigandharabushini,1849,Rāga Dvigandharabushini,R1;L1,L1;R1,1849,Rāga Dvigandharabushini,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1869,same_source_direct_diamond,1869,Lydian 7+♭3,1869,Lydian 7+♭3,R1;L1,L1;R1,1869,Lydian 7+♭3,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1877,same_source_direct_diamond,1877,Aeroptian,1877,Aeroptian,R1;L1,L1;R1,1877,Aeroptian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1881,same_source_direct_diamond,1881,Lydian 7+♯2,1881,Lydian 7+♯2,R1;L1,L1;R1,1881,Lydian 7+♯2,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1893,same_source_direct_diamond,1893,Lydian 7+♯3,1893,Lydian 7+♯3,R1;L1,L1;R1,1893,Lydian 7+♯3,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1897,same_source_direct_diamond,1897,Lydian 7+♯23,1897,Lydian 7+♯23,R1;L1,L1;R1,1897,Lydian 7+♯23,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1905,same_source_direct_diamond,1905,Lydian 7+♯3𝄪2,1905,Lydian 7+♯3𝄪2,R1;L1,L1;R1,1905,Lydian 7+♯3𝄪2,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1933,same_source_direct_diamond,1933,Dorian +𝄪4,1933,Dorian +𝄪4,R1;L1,L1;R1,1933,Dorian +𝄪4,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1941,same_source_direct_diamond,1941,Dominant +𝄪4,1941,Dominant +𝄪4,R1;L1,L1;R1,1941,Dominant +𝄪4,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1945,same_source_direct_diamond,1945,7-Z18 rooted state 1945,1945,7-Z18 rooted state 1945,R1;L1,L1;R1,1945,7-Z18 rooted state 1945,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1957,same_source_direct_diamond,1957,Dominant +♯3𝄪4,1957,Dominant +♯3𝄪4,R1;L1,L1;R1,1957,Dominant +♯3𝄪4,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1961,same_source_direct_diamond,1961,Dominant +♯2♯3𝄪4,1961,Dominant +♯2♯3𝄪4,R1;L1,L1;R1,1961,Dominant +♯2♯3𝄪4,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1969,same_source_direct_diamond,1969,Dominant +♯3𝄪2♭4,1969,Dominant +♯3𝄪2♭4,R1;L1,L1;R1,1969,Dominant +♯3𝄪2♭4,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1989,same_source_direct_diamond,1989,Dominant +34,1989,Dominant +34,R1;L1,L1;R1,1989,Dominant +34,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:1993,same_source_direct_diamond,1993,Dominant +♯234,1993,Dominant +♯234,R1;L1,L1;R1,1993,Dominant +♯234,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:2001,same_source_direct_diamond,2001,Dominant +234,2001,Dominant +234,R1;L1,L1;R1,2001,Dominant +234,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:2017,same_source_direct_diamond,2017,Dominant +34♯2,2017,Dominant +34♯2,R1;L1,L1;R1,2017,Dominant +34♯2,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:501,same_source_direct_diamond,501,Major Locrian 6♭7,501,Major Locrian 6♭7,R1;R2,R2;R1,253,Alt ♮25♭67,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:757,same_source_direct_diamond,757,Lipsean Mode II,757,Lipsean Mode II,R1;R2,R2;R1,381,Alt ♮25♭67,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:885,same_source_direct_diamond,885,Major Locrian 𝄫7,885,Major Locrian 𝄫7,R1;R2,R2;R1,445,Alt ♮2♭♭5♭6♭♭♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:949,same_source_direct_diamond,949,Mararanjani,949,Mararanjani,R1;R2,R2;R1,477,Alt ♮2𝄫6♭𝄫7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:981,same_source_direct_diamond,981,Mela Kantamani,981,Mela Kantamani,R1;R2,R2;R1,493,Locrian ♮2♭♭6♭♭♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:997,same_source_direct_diamond,997,Tanarupi IV,997,Tanarupi IV,R1;R2,R2;R1,501,Major Locrian 6♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1001,same_source_direct_diamond,1001,Lydian ♯2♯3♭67,1001,Lydian ♯2♯3♭67,R1;R2,R2;R1,505,7-3 rooted state 505,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1269,same_source_direct_diamond,1269,Major Locrian ♭♭6,1269,Major Locrian ♭♭6,R1;R2,R2;R1,637,Debussy's Heptatonic,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1397,same_source_direct_diamond,1397,Major Locrian,1397,Major Locrian,R1;R2,R2;R1,701,Alt ♮2♭♭567,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1461,same_source_direct_diamond,1461,Mixolydian ♭6,1461,Mixolydian ♭6,R1;R2,R2;R1,733,Superlocrian ♮2♭♭6♭♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1493,same_source_direct_diamond,1493,Lydian Minor,1493,Lydian Minor,R1;R2,R2;R1,749,Locrian ♮2♭♭6♭♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1509,same_source_direct_diamond,1509,Lydian Minor ♯3,1509,Lydian Minor ♯3,R1;R2,R2;R1,757,Lipsean Mode II,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1513,same_source_direct_diamond,1513,Lydian ♭7♭6♯2♯3,1513,Lydian ♭7♭6♯2♯3,R1;R2,R2;R1,761,Major Locrian ♯267,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1653,same_source_direct_diamond,1653,Mixolydian ♭5,1653,Mixolydian ♭5,R1;R2,R2;R1,829,7-Z18 rooted state 829,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1717,same_source_direct_diamond,1717,Mixolydian,1717,Mixolydian,R1;R2,R2;R1,861,Superlocrian ♮2𝄫7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1749,same_source_direct_diamond,1749,Acoustic,1749,Acoustic,R1;R2,R2;R1,877,Hungarian Major Inverse,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1765,same_source_direct_diamond,1765,Lydian ♭7♯3,1765,Lydian ♭7♯3,R1;R2,R2;R1,885,Major Locrian 𝄫7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1769,same_source_direct_diamond,1769,Lydian ♭7♯2♯3,1769,Lydian ♭7♯2♯3,R1;R2,R2;R1,889,Scale 889,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1845,same_source_direct_diamond,1845,Mixolydian Augmented,1845,Mixolydian Augmented,R1;R2,R2;R1,925,Chromatic Hypodorian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1877,same_source_direct_diamond,1877,Aeroptian,1877,Aeroptian,R1;R2,R2;R1,941,Rāga Jhankara Bhramavi,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1893,same_source_direct_diamond,1893,Lydian 7+♯3,1893,Lydian 7+♯3,R1;R2,R2;R1,949,Mararanjani,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1897,same_source_direct_diamond,1897,Lydian 7+♯23,1897,Lydian 7+♯23,R1;R2,R2;R1,953,Rāga Kalahamsa,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1941,same_source_direct_diamond,1941,Dominant +𝄪4,1941,Dominant +𝄪4,R1;R2,R2;R1,973,7-19 rooted state 973,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1957,same_source_direct_diamond,1957,Dominant +♯3𝄪4,1957,Dominant +♯3𝄪4,R1;R2,R2;R1,981,Mela Kantamani,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1961,same_source_direct_diamond,1961,Dominant +♯2♯3𝄪4,1961,Dominant +♯2♯3𝄪4,R1;R2,R2;R1,985,Scale 985,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1989,same_source_direct_diamond,1989,Dominant +34,1989,Dominant +34,R1;R2,R2;R1,997,Tanarupi IV,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:1993,same_source_direct_diamond,1993,Dominant +♯234,1993,Dominant +♯234,R1;R2,R2;R1,1001,Lydian ♯2♯3♭67,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2001,same_source_direct_diamond,2001,Dominant +234,2001,Dominant +234,R1;R2,R2;R1,1009,7-3 rooted state 1009,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2293,same_source_direct_diamond,2293,Bucolic,2293,Bucolic,R1;R2,R2;R1,1149,Alt ♮25♭6,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2421,same_source_direct_diamond,2421,Harmonic Major ♭5,2421,Harmonic Major ♭5,R1;R2,R2;R1,1213,Alt ♮2♭♭5♭6,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2485,same_source_direct_diamond,2485,Harmonic Major,2485,Harmonic Major,R1;R2,R2;R1,1245,Alt ♮26,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2517,same_source_direct_diamond,2517,Lydian Harmonic Major,2517,Lydian Harmonic Major,R1;R2,R2;R1,1261,Modified Blues,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2533,same_source_direct_diamond,2533,7-19 rooted state 2533,2533,7-19 rooted state 2533,R1;R2,R2;R1,1269,Major Locrian ♭♭6,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2537,same_source_direct_diamond,2537,Scale 2537,2537,Scale 2537,R1;R2,R2;R1,1273,Tanarupi V,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2677,same_source_direct_diamond,2677,Ionian ♭5,2677,Ionian ♭5,R1;R2,R2;R1,1341,Alt ♮2♭♭5,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2741,same_source_direct_diamond,2741,Ionian,2741,Ionian,R1;R2,R2;R1,1373,Storian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2773,same_source_direct_diamond,2773,Lydian,2773,Lydian,R1;R2,R2;R1,1389,Half-Diminished,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2789,same_source_direct_diamond,2789,Lydian ♯3,2789,Lydian ♯3,R1;R2,R2;R1,1397,Major Locrian,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:R2:2793,same_source_direct_diamond,2793,1sus4 & 7⁷,2793,1sus4 & 7⁷,R1;R2,R2;R1,1401,Major Locrian ♯2,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
