counterexample_id,category,tested_claim,source_id,source_name,operator_a,operator_b,left_target_id,right_target_id,evidence_edge_id,explanation
commutation-domain:R1:L1:699,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,699,Ultralocrian 5,R1,L1,,699,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:719,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,719,1MI & 2Δ7,R1,L1,,719,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:727,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,727,Triadic Heptatonic 29,R1,L1,,727,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:731,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,731,Alternating Heptamode,R1,L1,,731,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:743,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,743,Phrygian Hungarian Minor,R1,L1,,743,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:747,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,747,1sus4 & ♭3∅7,R1,L1,,747,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:755,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,755,Ionian ♭2♭5𝄫6𝄫7,R1,L1,,755,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:799,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,799,Infra-Alt 5♭6,R1,L1,,799,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:815,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,815,Scale 815,R1,L1,,815,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:823,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,823,Scale 823,R1,L1,,823,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:827,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,827,Scale 827,R1,L1,,827,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:847,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,847,Scale 847,R1,L1,,847,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:855,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,855,Ultralocrian 𝄫3,R1,L1,,855,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:859,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,859,Ultralocrian,R1,L1,,859,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:871,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,871,Locrian 𝄫3𝄫7,R1,L1,,871,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:875,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,875,Locrian double-flat 7,R1,L1,,875,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:883,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,883,Scale 883,R1,L1,,883,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:911,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,911,Phrygian 𝄫3𝄫4𝄫7,R1,L1,,911,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:919,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,919,Chromatic Phrygian Inverse,R1,L1,,919,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:923,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,923,Alt ♮5𝄫7,R1,L1,,923,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:935,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,935,Kanakangi,R1,L1,,935,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:939,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,939,Rāga Malini,R1,L1,,939,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:947,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,947,Scale 947,R1,L1,,947,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:967,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,967,Scale 967,R1,L1,,967,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:971,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,971,Scale 971,R1,L1,,971,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:979,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,979,Scale 979,R1,L1,,979,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:995,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,995,Lydian ♭2♯3♭67,R1,L1,,995,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1087,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1087,Infra-Alt 5♭76,R1,L1,,1087,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1119,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1119,Infra-Alt 56♭7,R1,L1,,1119,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1135,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1135,Eurean Mode III,R1,L1,,1135,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1143,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1143,Scale 1143,R1,L1,,1143,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1147,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1147,Alt double-flat 5 / flat–double-flat 6,R1,L1,,1147,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1183,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1183,Infra-Alt 5♭7,R1,L1,,1183,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1199,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1199,Alt ♭♭3♭♭4♭♭5♭♭6,R1,L1,,1199,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1207,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1207,Alt ♭♭3♭♭5♭♭6,R1,L1,,1207,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1211,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1211,Ceiling Scale,R1,L1,,1211,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1231,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1231,7-Z18 rooted state 1231,R1,L1,,1231,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1239,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1239,Alt 𝄫3𝄫6,R1,L1,,1239,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1243,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1243,Alt 6,R1,L1,,1243,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1255,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1255,Chromatic Mixolydian,R1,L1,,1255,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1259,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1259,Blues Phrygian,R1,L1,,1259,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1267,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1267,7-19 rooted state 1267,R1,L1,,1267,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1311,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1311,Alt 34♭5,R1,L1,,1311,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1327,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1327,Lipsean Mode IV,R1,L1,,1327,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1335,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1335,Elephant Scale,R1,L1,,1335,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1339,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1339,Alt ♭♭5,R1,L1,,1339,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1359,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1359,"Alt double-flat 3, double-flat 4",R1,L1,,1359,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1367,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1367,Leading Whole-Tone Inverse,R1,L1,,1367,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1371,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1371,Superlocrian,R1,L1,,1371,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1383,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1383,Locrian double-flat 3,R1,L1,,1383,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1387,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1387,Locrian,R1,L1,,1387,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1395,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1395,Locrian Dominant,R1,L1,,1395,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1423,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1423,Alt ♮5♭♭3♭4,R1,L1,,1423,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1431,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1431,Astrocyte,R1,L1,,1431,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1435,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1435,Maqam Saba Zamzam,R1,L1,,1435,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1447,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1447,Rāga Phenadyuti,R1,L1,,1447,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1451,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1451,Phrygian,R1,L1,,1451,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1459,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1459,Phrygian Dominant,R1,L1,,1459,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1479,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1479,Mela Jalarnava,R1,L1,,1479,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1483,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1483,Mela Bhavapriya,R1,L1,,1483,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1491,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1491,Namanarayani,R1,L1,,1491,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1507,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1507,Lydian ♭7♭2♭6♯3,R1,L1,,1507,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1567,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1567,7-4 rooted state 1567,R1,L1,,1567,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1583,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1583,Alt ♮6♭♭3♭4♭5,R1,L1,,1583,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1591,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1591,Alt ♮6♭♭3♭5,R1,L1,,1591,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1595,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1595,Alt ♮65,R1,L1,,1595,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1615,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1615,Sydian (Alt ♮6𝄫34),R1,L1,,1615,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1623,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1623,Alt ♮63,R1,L1,,1623,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1627,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1627,Superlocrian ♯6,R1,L1,,1627,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1639,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1639,7-21 rooted state 1639,R1,L1,,1639,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1643,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1643,Locrian ♮6,R1,L1,,1643,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1651,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1651,Tsinganikos,R1,L1,,1651,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1679,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1679,Zephyrean Mode V,R1,L1,,1679,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1687,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1687,Midlocrian,R1,L1,,1687,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1691,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1691,Dorian ♭2♭4,R1,L1,,1691,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1703,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1703,Rāga Bhanumati,R1,L1,,1703,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1707,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1707,Dorian ♭2,R1,L1,,1707,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1715,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1715,Dominant ♭2,R1,L1,,1715,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1735,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1735,Navaneetam,R1,L1,,1735,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1739,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1739,Rāga Sthavarajam,R1,L1,,1739,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1747,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1747,Lydian 7♭2,R1,L1,,1747,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1763,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1763,Lydian 7♭2♯3,R1,L1,,1763,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1807,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1807,7-5 rooted state 1807,R1,L1,,1807,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1815,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1815,Scale 1815,R1,L1,,1815,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1819,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1819,Alt ♮6♯5,R1,L1,,1819,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1831,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1831,Dominant +♭2𝄫3,R1,L1,,1831,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1835,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1835,Dorian +♭2,R1,L1,,1835,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1843,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1843,7-21 rooted state 1843,R1,L1,,1843,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1863,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1863,Scale 1863,R1,L1,,1863,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1867,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1867,Lydian 7+♭23,R1,L1,,1867,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1875,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1875,Persichetti,R1,L1,,1875,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1891,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1891,Hijaz Major,R1,L1,,1891,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1927,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1927,7-5 rooted state 1927,R1,L1,,1927,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1931,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1931,Dorian +♭2𝄪4,R1,L1,,1931,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1939,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1939,Dominant +♭2𝄪4,R1,L1,,1939,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1955,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1955,Dominant +♭2♯3𝄪4,R1,L1,,1955,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:1987,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,1987,7-4 rooted state 1987,R1,L1,,1987,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:2173,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,2173,7-4 rooted state 2173,R1,L1,2173,,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:2237,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,2237,Alt ♮27♭♭56,R1,L1,2237,,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:2269,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,2269,Nomadic Minor,R1,L1,2269,,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
